2019-06-23 10:11:12.955614, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:11:50.416369, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:11:55.204924, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:11:59.476051, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:12:18.968608, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:12:52.481209, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:12:57.283700, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:13:01.681163, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:14:18.530062, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:15:24.802973, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:15:29.531193, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:15:34.054273, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:16:11.048783, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:16:15.801242, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:16:38.395885, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:16:43.193103, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:17:34.847670, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:17:39.656147, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:17:44.406078, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:17:48.830721, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:18:20.530026, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:18:31.923398, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:18:36.701609, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:18:56.601227, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:19:01.277718, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:19:10.197044, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:19:15.015189, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:19:51.709161, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:19:56.455628, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:20:24.466805, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:20:29.240036, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:20:49.624835, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:20:54.411727, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:21:00.053659, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:21:04.808999, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:21:09.898197, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:21:28.112335, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:21:37.670660, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:21:42.440809, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:21:46.225663, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:21:50.971320, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:21:58.231209, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:22:02.972889, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:22:25.474148, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:22:30.214889, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:23:10.273545, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:23:15.117403, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:23:18.784272, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:23:37.626620, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:23:55.807111, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:24:00.713941, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:24:04.764229, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:25:02.837718, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:25:22.924908, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:25:27.749298, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:26:00.998057, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:26:05.837330, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:26:11.206149, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:26:15.997372, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:26:21.246846, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:27:21.214952, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:27:45.451619, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:27:50.303136, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:27:54.873681, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:28:12.492600, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:28:17.540679, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:28:35.207700, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:28:37.177249, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:28:42.013068, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:29:46.337603, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:29:51.154098, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:29:54.005606, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:29:58.787898, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:30:00.194056, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:30:51.290892, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:30:53.129934, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:31:18.999289, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:31:20.858943, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:31:25.689115, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:31:31.006804, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:31:35.849271, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:31:40.313512, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:31:45.095467, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:31:49.624592, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:31:54.463664, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:32:02.391120, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:32:07.241157, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:32:12.501607, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:32:17.318225, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:32:22.514241, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:32:27.324222, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:32:47.955789, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:32:52.832393, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:32:56.971813, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:33:01.835020, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:33:03.268845, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:33:08.068827, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:33:33.111803, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:33:37.895695, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:33:39.832871, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:33:44.909825, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:33:46.290823, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:33:51.138446, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:33:53.107967, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:34:13.061827, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:34:34.522646, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:34:39.390476, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:34:42.134802, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:34:46.983690, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:34:48.321660, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:35:06.719306, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:35:26.059803, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:35:30.852959, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:35:34.069344, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:35:38.838699, INFO, BHS_INTF, Got BAG_END
