Time,RFID,BagID,Travel Distance,Beam Diff
2019-06-21 10:58:28.903181,00000000000001de,000054993, 4358.00,2768.00
2019-06-21 10:58:28.903294,__I__28014857,000054993, 2880.00,1290.00
2019-06-21 10:58:28.903320,0000000000000401,000054993, 3101.00,1511.00
2019-06-21 10:58:28.903357,__I__28021312,000054993, 1915.00,325.00
2019-06-21 10:58:28.903387,__I__28041281,000054993, 955.00,-635.00
2019-06-21 10:58:28.903410,0000000000000190,000054993, 1353.00,-237.00
2019-06-21 10:58:35.338951,0000000000000401,000054994, 4066.00,2476.00
2019-06-21 10:58:35.339039,__I__28021312,000054994, 2880.00,1290.00
2019-06-21 10:58:35.339066,__I__28041281,000054994, 1920.00,330.00
2019-06-21 10:58:35.339095,0000000000000190,000054994, 2318.00,728.00
2019-06-21 10:58:35.339143,__I__28047653,000054994, 965.00,-625.00
2019-06-21 10:58:35.339182,00000000000003f0,000054994, 774.00,-816.00
2019-06-21 10:58:41.802806,__I__28041281,000054995, 2887.00,1297.00
2019-06-21 10:58:41.802929,0000000000000190,000054995, 3285.00,1695.00
2019-06-21 10:58:41.802968,__I__28047653,000054995, 1932.00,342.00
2019-06-21 10:58:41.802992,00000000000003f0,000054995, 1741.00,151.00
2019-06-21 10:58:41.803023,__I__28054089,000054995, 967.00,-623.00
2019-06-21 10:58:48.178622,0000000000000190,000054996, 4240.00,2650.00
2019-06-21 10:58:48.178701,__I__28047653,000054996, 2887.00,1297.00
2019-06-21 10:58:48.178724,00000000000003f0,000054996, 2696.00,1106.00
2019-06-21 10:58:48.178739,__I__28054089,000054996, 1922.00,332.00
2019-06-21 10:58:48.178768,__I__28060552,000054996, 955.00,-635.00
2019-06-21 10:58:48.178784,0000000000000184,000054996, 1249.00,-341.00
2019-06-21 10:58:54.645603,__I__28047653,000054997, 3855.00,2265.00
2019-06-21 10:58:54.645710,00000000000003f0,000054997, 3664.00,2074.00
2019-06-21 10:58:54.645739,__I__28054089,000054997, 2890.00,1300.00
2019-06-21 10:58:54.645759,__I__28060552,000054997, 1923.00,333.00
2019-06-21 10:58:54.645778,0000000000000184,000054997, 2217.00,627.00
2019-06-21 10:58:54.645797,__I__28066928,000054997, 968.00,-622.00
2019-06-21 10:58:54.645817,0000000000000293,000054997, 1012.00,-578.00
2019-06-21 10:59:01.092265,__I__28054089,000054998, 3853.00,2263.00
2019-06-21 10:59:01.092368,__I__28060552,000054998, 2886.00,1296.00
2019-06-21 10:59:01.092394,0000000000000184,000054998, 3180.00,1590.00
2019-06-21 10:59:01.092444,__I__28066928,000054998, 1931.00,341.00
2019-06-21 10:59:01.092474,0000000000000293,000054998, 1975.00,385.00
2019-06-21 10:59:01.092494,__I__28073395,000054998, 963.00,-627.00
2019-06-21 10:59:07.453190,__I__28060552,000054999, 3839.00,2249.00
2019-06-21 10:59:07.453291,0000000000000184,000054999, 4133.00,2543.00
2019-06-21 10:59:07.453333,__I__28066928,000054999, 2884.00,1294.00
2019-06-21 10:59:07.453369,0000000000000293,000054999, 2928.00,1338.00
2019-06-21 10:59:07.453403,__I__28073395,000054999, 1916.00,326.00
2019-06-21 10:59:07.453462,__I__28079842,000054999, 953.00,-637.00
