2019-05-06 11:00:06.966647, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014c] is in the window to link with internal bag_id [000022588], scan state: NotScanned, travel dist: 1665.00, beam_diff: 75.00 entry pos: 411589.00
2019-05-06 11:00:13.768505, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000169] is in the window to link with internal bag_id [000022589], scan state: NotScanned, travel dist: 1644.00, beam_diff: 54.00 entry pos: 412628.00
2019-05-06 11:00:52.268305, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000142] is in the window to link with internal bag_id [000022590], scan state: NotScanned, travel dist: 1633.00, beam_diff: 43.00 entry pos: 413659.00
2019-05-06 11:01:12.136820, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000152] is in the window to link with internal bag_id [000022591], scan state: NotScanned, travel dist: 1659.00, beam_diff: 69.00 entry pos: 414683.00
2019-05-06 11:01:18.978518, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014a] is in the window to link with internal bag_id [000022592], scan state: NotScanned, travel dist: 1659.00, beam_diff: 69.00 entry pos: 415706.00
2019-05-06 11:01:48.602004, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000147] is in the window to link with internal bag_id [000022593], scan state: NotScanned, travel dist: 1637.00, beam_diff: 47.00 entry pos: 416745.00
2019-05-06 11:03:33.381761, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000179] is in the window to link with internal bag_id [000022594], scan state: NotScanned, travel dist: 1666.00, beam_diff: 76.00 entry pos: 417727.00
2019-05-06 11:04:50.745832, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016b] is in the window to link with internal bag_id [000022595], scan state: NotScanned, travel dist: 1679.00, beam_diff: 89.00 entry pos: 419477.00
2019-05-06 11:05:24.209010, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000157] is in the window to link with internal bag_id [000022596], scan state: NotScanned, travel dist: 1672.00, beam_diff: 82.00 entry pos: 420549.00
2019-05-06 11:05:31.060553, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000156] is in the window to link with internal bag_id [000022597], scan state: NotScanned, travel dist: 1674.00, beam_diff: 84.00 entry pos: 421573.00
2019-05-06 11:05:37.822735, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015a] is in the window to link with internal bag_id [000022598], scan state: NotScanned, travel dist: 1640.00, beam_diff: 50.00 entry pos: 422617.00
